lat,lng,buildings
37.7681,38.7935,28344
37.9907,37.4108,2581
41.3527,34.3677,6888
40.3085,34.9294,4541
41.2563,41.051,9031
41.5318,32.883,5243
41.6925,31.3834,5457
38.9919,28.774,2840
39.9297,42.8747,1742
39.052,36.8996,3683
37.8207,30.8488,19376
38.5847,44.6167,1156
38.8316,38.3043,15092
41.1557,35.8358,23419
40.4927,33.4671,18880
37.9508,29.3965,102764
36.9018,30.0042,45733
37.0206,28.5614,32597
36.7662,31.4369,88770
35.8459,30.5976,8693
37.3296,35.1313,17951
70.9972,-148.004,11
38.0634,27.9345,43893
76.2907,16.8931,1
65.4722,10.3451,7
68.5508,2.83398,1
79.8427,12.2177,10
78.83,12.5233,125
77.8306,12.7755,230
77.2724,17.0171,19
64.7,10.5362,14092
67.4359,11.9434,1670
70.4524,-9.29421,16
69.8316,16.3729,843
66.6234,12.0881,7220
13.3275,101.459,20152
70.6839,24.355,13401
64.1604,7.7242,881
70.4359,21.5864,6224
15.5676,102.13,2189
71.0555,30.1795,2224
63.4528,6.88027,9898
11.3511,101.956,14
70.8915,27.2226,6143
64.0258,9.6462,28941
60.4329,9.26378,93145
67.791,14.0669,20263
65.0047,12.2168,19621
60.3045,7.36501,26562
68.9693,16.327,57548
70.1507,18.9242,10589
62.0071,11.0074,46337
68.629,14.0042,26139
58.7938,7.64077,40220
61.053,8.14848,51939
63.3335,8.7828,57790
71.5742,24.8558,192
57.9511,6.87144,67902
60.5921,11.2229,257940
59.6212,8.43781,77671
65.8256,12.2212,33991
66.968,14.1242,50258
62.6183,9.86931,38718
78.2682,17.1637,1229
58.1432,8.71161,138672
69.2812,18.753,74047
58.9757,9.51975,245699
63.3762,10.7789,178388
59.7921,10.3565,666420
60.3856,5.57924,267387
59.6041,4.83694,107088
58.7548,5.86445,212147
70.1844,29.4178,17117
68.9456,23.4963,3108
69.5617,21.2801,16462
69.1542,26.0742,5022
63.0544,24.4246,10233
67.5596,26.991,7621
63.1844,26.3649,16695
65.8474,27.1494,14673
64.7719,24.1256,6650
61.9655,21.8201,37842
62.1201,23.6356,27294
62.7262,20.7019,14917
64.1139,27.2896,31770
65.04,28.2813,9098
63.9879,25.2693,15227
63.837,23.3031,77552
61.0308,21.1497,42667
62.9011,22.5363,79922
64.9193,26.1754,46194
30.4581,60.4099,15
62.362,27.4146,97028
60.2528,22.205,115208
60.3881,23.9348,228847
61.1859,22.8972,126270
-2.08134,122.777,31
-4.76551,117.895,87
-1.37599,127.165,15
0.0319818,123.511,502
1.48214,126.085,666
-6.61483,118.235,718
3.23179,106.892,10
2.41409,107.661,69
4.3351,107.225,4
-6.86995,116.232,6032
-5.27956,114.901,5686
-3.36977,111.778,18
2.71441,116.531,18
1.21161,118.917,14
-2.90385,117.555,359
-2.61913,125.674,4138
0.0691261,113.812,634
-2.0511,116.881,1616
-0.494323,111.719,52898
4.33279,125.006,295
-4.55694,114.215,94
0.217129,124.603,9164
1.67536,127.203,8288
-0.348842,104.796,159
4.6109,108.33,612
0.849743,113.104,24859
-1.55573,126.053,11849
1.8729,117.207,1560
1.59101,121.014,62
-0.211355,112.771,8345
3.65316,126.853,106
-3.82291,113.522,49
-0.421751,115.533,2499
-7.79941,123.814,12226
0.722132,121.721,12701
0.62162,115.865,6303
-7.35962,127.091,254
-1.55168,119.954,123264
-3.28918,121.35,11883
-1.46206,115.203,1941
-0.151279,122.43,378
-1.72958,103.364,199196
0.352551,119.609,37748
2.69444,108.757,485
-3.07778,112.819,40693
-5.90973,123.469,9890
-0.125588,101.78,1699
-2.78727,113.851,45502
-4.94363,130.104,4705
-1.90856,123.858,3598
-3.12595,122.414,15620
2.85608,97.4032,847
-2.02142,102.254,5534
-0.931084,102.575,650
-1.02844,123.143,14406
-0.332487,121.361,236
-6.99173,115.252,18795
-2.03329,113.149,62500
-0.779509,110.659,40975
-3.23952,115.555,46463
5.64585,96.0549,99859
-2.21181,115.884,130183
0.909798,122.795,208516
-0.709919,99.5379,27827
-1.2053,122.068,5107
-2.3219,112.108,34909
3.98116,97.7159,51954
-3.39532,100.826,1507
-2.49852,114.873,145089
-8.20338,111.184,123295
-1.72095,118.916,22190
-2.58355,119.605,124088
-1.74659,114.181,75626
-0.688133,119.261,37570
-8.59596,112.913,244413
3.75196,116.865,10828
2.36843,125.356,8703
-7.83398,115.908,8275
-0.185153,116.541,85614
-8.07161,121.682,16542
-9.52174,117.233,829
0.28979,110.991,66243
-10.1517,119.938,15167
-10.0377,120.976,8252
-2.60425,100.028,11727
0.100674,98.7278,652
-1.80625,99.2243,9214
-1.00203,98.4157,4022
-8.66807,124.526,76345
-2.31309,101.142,41874
-8.23528,127.817,48
-1.22291,101.46,3190
-8.38393,126.711,55589
-5.87613,112.866,8506
-8.09408,108.368,175937
-10.7751,122.725,1420
-0.511486,120.305,227907
1.02486,117.888,276
-7.9252,130.054,170
-5.33617,120.642,93625
-9.39679,126.333,19804
-7.51035,125.989,960
-9.53442,125.241,175735
-7.2945,114.249,159835
-8.97212,114.605,7095
-10.8909,121.67,7035
-4.22438,128.244,66831
1.09915,123.881,33466
-1.03387,117.214,464799
-9.79552,123.086,857
-8.56483,117.565,36929
-8.80347,123.449,40907
-7.93764,122.742,5752
-8.93438,122.382,93284
-9.66733,124.158,90746
-0.417654,100.659,265797
-1.51475,100.343,68771
-10.6542,123.792,136607
-3.01021,106.015,12290
-1.93655,106.341,12574
-7.19349,111.509,824514
-3.60641,119.259,264106
-8.67755,116.568,1224717
-8.44791,118.575,222422
-7.79471,109.422,1537300
4.27701,98.8558,52064
-8.29092,113.925,871375
-8.52821,125.614,117543
1.28999,124.978,361749
-7.9858,114.928,494200
-8.78609,115.586,1137755
-7.4944,110.47,3133638
46.9633,19.9418,144176
19.9422,-92.4748,4
29.9586,-113.729,1
21.0654,-92.2695,5
24.4865,-108.225,292
19.2345,-91.5829,12
18.821,-92.6769,74
21.8378,-103.98,4131
16.1526,-99.271,63
18.3346,-104.307,1010
18.837,-115.004,9
30.2186,-105.48,27
31.3809,-105.373,819
28.6643,-109.114,125
20.4963,-96.5654,452
29.9577,-116.055,74
27.0396,-114.925,40
28.1811,-102.187,183
29.5483,-104.367,1476
18.7092,-110.729,76
18.9944,-105.324,3470
29.8362,-109.044,252
30.4667,-110.188,440
17.2752,-93.9639,2167
21.1973,-97.5284,13508
23.8338,-107.145,113
31.1181,-116.053,235
17.2934,-99.1235,715
29.7127,-106.701,48
21.4363,-99.6528,2710
27.5721,-111.482,101
17.7566,-98.0155,1051
18.6465,-101.069,1024
18.832,-103.187,9614
27.9451,-99.9152,6308
27.4889,-109.182,1601
26.785,-100.069,614
59.4769,21.2368,352
15.7177,-95.2324,41460
17.97,-100.089,2540
22.349,-97.3604,1462
16.6175,-98.1725,6473
23.9515,-109.38,7657
28.648,-100.975,886
19.8041,-100.933,8951
27.0116,-112.648,3547
25.1315,-109.315,193
22.3325,-102.829,5823
20.4847,-101.935,1810
68.3059,25.579,954
18.2117,-96.9064,1231
26.9466,-110.361,2955
25.666,-108.149,3666
19.6383,-90.4924,947
18.4392,-98.9734,69211
18.3978,-93.7737,1478
29.9182,-111.39,303
20.0474,-97.6936,27927
21.1629,-102.951,5330
19.122,-99.9461,50862
27.2362,-98.8724,4142
20.7483,-90.2735,3565
16.8393,-95.0539,91894
20.2778,-99.8007,7612
25.3582,-103.634,6632
21.6503,-101.805,3645
16.588,-93.0714,127761
25.8046,-96.8384,16392
20.9651,-100.796,10108
25.0127,-107.06,2092
29.0513,-105.584,2282
16.8226,-100.229,10196
18.9002,-97.8559,63328
41.9562,28.347,10886
43.0582,26.1289,41108
42.1399,25.2746,99729
42.9647,27.6822,70769
43.1821,23.0066,135952
42.201,23.7302,66084
5.86254,122.463,13
9.13985,114.755,3
9.36834,115.806,1
7.9471,118.224,1
6.27979,119.616,58
8.90555,113.693,26
6.07746,123.553,43
20.5204,122.546,136
5.62839,126.503,446
10.3019,119.975,1661
4.37059,119.964,454
10.5426,121.044,920
8.07235,114.414,1
8.30851,115.465,6
7.11792,118.918,3978
11.2633,115.442,3
10.4242,116.149,6
8.76678,117.534,1655
8.86884,122.479,575
9.47533,120.684,386
12.57,125.831,14425
17.6923,122.529,3337
12.9218,122.867,9884
6.93941,122.831,1732
9.81852,117.877,902
9.00315,118.57,3508
5.64773,121.384,13979
12.0943,123.596,46825
11.1182,119.27,14110
8.68629,126.538,5910
10.2038,115.098,242
7.79347,122.112,9321
12.3335,124.708,142119
6.72022,126.89,259
8.01812,123.201,148938
9.32552,124.681,91142
8.46485,125.415,158374
5.41849,125.385,3369
18.4643,121.801,194225
16.6474,122.157,68840
9.55171,125.799,85571
12.4261,120.692,7379
7.15903,123.927,37169
6.71947,121.747,20516
6.49951,120.675,8164
7.59617,126.151,227967
18.1933,120.709,242221
8.24202,124.303,324195
5.21951,119.266,7772
10.7821,122.127,127520
17.4269,121.431,252420
11.4904,125.445,188735
10.4086,125.062,175927
9.9447,122.849,25283
6.29224,124.655,424355
11.0201,123.221,186945
9.09779,123.574,65309
16.384,121.065,223358
12.675,121.773,18115
13.1662,123.973,357710
13.7384,122.142,37429
11.8528,122.496,196141
